# Giralia Bay, Western Australia 90 Year Mangrove Wood Density Data
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/14608
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-14608.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI: 10.25921/zjrb-9b32
#
# Science_Keywords: Pacific Decadal Oscillation, hydrology
#--------------------
# Resource_Links
#
# Data_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/giralia3dist-noaa.txt
#   Data_Download_Description: NOAA Template File; Wood Density Data from Stem 3 by Distance
#
#--------------------
# Contribution_Date
#   Date: 2013-06-22
#--------------------
# File_Last_Modified_Date
#   Date: 2025-09-17
#--------------------
# Title
#   Study_Name: Giralia Bay, Western Australia 90 Year Mangrove Wood Density Data
#--------------------
# Investigators
#   Investigators: Santini, N.S.(https://orcid.org/0000-0002-8319-8862); Hua, Q.(https://orcid.org/0000-0003-0179-8539); Schmitz, N.; Lovelock, C.E.(https://orcid.org/0000-0002-2219-6855)
#--------------------
# Description_Notes_and_Keywords
#   Description: Mangrove (Avicennia marina) wood density data from Giralia Bay, Exmouth Gulf, Western Australia. Data are presented as 4 wood density (g/cm3) profiles per stem (stem 1, stem 2, stem 3, stem 4) and with x=distance from pith (cm) and x=years (calendar year before 2008 AD determined by radiocarbon dating). NOAA Template Raw Measurements file added 2019-01-24.
#--------------------
# Publication
#   Authors: Nadia S. Santini, Quan Hua, Nele Schmitz, Catherine E. Lovelock
#   Journal_Name: PLoS ONE
#   Published_Title: Chronologies of growth of mangrove trees in arid Western Australia: regional drying decreases growth rates
#   Published_Date_or_Year: 2013
#   Volume: 8
#   Issue: 11
#   Pages: 
#   Report_Number: e80116
#   DOI: 10.1371/journal.pone.0080116
#   Full_Citation:
#   Abstract: Mangrove trees tend to be larger and mangrove communities more diverse in tropical latitudes, particularly where there is high rainfall. Variation in the structure, growth and productivity of mangrove forests over climatic gradients suggests they are sensitive to variations in climate, but evidence of changes in the structure and growth of mangrove trees in response to climatic variation is scarce. Bomb-pulse radiocarbon dating provides accurate dates of recent wood formation and tree age of tropical and subtropical tree species. Here, we used radiocarbon techniques combined with X-ray densitometry to develop a wood density chronology for the mangrove Avicennia marina in the Exmouth Gulf, Western Australia (WA). We tested whether wood density chronologies of A. marina were sensitive to variation in the Pacific Decadal Oscillation Index, which reflects temperature fluctuations in the Pacific Ocean and is linked to the instrumental rainfall record in north WA. We also determined growth rates in mangrove trees from the Exmouth Gulf, WA. We found that seaward fringing A. marina trees (~10 cm diameter) were 48±1 to 89±23 years old (mean ± 1sigma) and that their growth rates ranged from 4.08±2.36 to 5.30±3.33 mm/yr (mean ±1sigma). The wood density of our studied mangrove trees decreased with increases in the Pacific Decadal Oscillation Index. Future predicted drying of the region will likely lead to further reductions in wood density and their associated growth rates in mangrove forests in the region.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Australian Institute of Nuclear Science and Engineering (AINSE)
#   Grant: 09047, 11114
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Australian Research Council (ARC)
#   Grant: DP1096749
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Mexico Consejo Nacional de Ciencia y Tecnología (CONACyT)
#   Grant:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Research Foundation Flanders
#   Grant:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: University of Queensland
#   Grant:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Secretaría de Educación Pública (Mexico SEP)
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Giralia Bay
#   Location: Western Australia
#   Northernmost_Latitude: -22.45
#   Southernmost_Latitude: -22.45
#   Easternmost_Longitude: 114.3167
#   Westernmost_Longitude: 114.3167
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: GiraliaStem3dist
#   First_Year: 1919
#   Last_Year: 2007
#   Time_Unit: CE
#   Core_Length_m: 0.041
#   Parameter_Keywords: total density
#   Notes: Wood density profiles Giralia Bay Avicennia marina Stem 3
#--------------------
# Species 
# Tree_Species_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/templates/tree-species-code.csv
#   Tree_Species_Download_Description:  List of accepted tree species names and codes. 
#
#   Species_Name: Avicennia marina (Forssk.) Vierh.
#   Common_Name: gray mangrove; white mangrove
#   Tree_Species_Code: AVMA
#--------------------
# Chronology_Information
# Chronology:
#--------------------
# Variables
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables list, one per line, shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## depth_cm	depth,,,centimeter,,tree ring,,,N,depth distance from pith
## dens1	density,wood,,gram per cubic centimeter,,tree ring,,,N,Profile 1
## dens2	density,wood,,gram per cubic centimeter,,tree ring,,,N,Profile 2
## dens3	density,wood,,gram per cubic centimeter,,tree ring,,,N,Profile 3
## dens4	density,wood,,gram per cubic centimeter,,tree ring,,,N,Profile 4
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values:
depth_cm	dens1	dens2	dens3	dens4
0.1	0.804755839	0.814847725	0.813681574	0.815724534
0.2	0.770406504	0.781525773	0.799943721	0.768583981
0.3	0.796302521	0.811648822	0.831836138	0.81925072
0.4	0.797699053	0.844500557	0.833971397	0.809338078
0.5	0.793524075	0.849230769	0.893260016	0.82310532
0.6	0.805325779	0.80905016	0.818660907	0.785303867
0.7	0.759092123	0.781525773	0.805611052	0.7725
0.8	0.761634293	0.752561218	0.804755839	0.768064843
0.9	0.798539326	0.837040854	0.808474938	0.831531993
1	0.822212581	0.827899527	0.838893397	0.826095169
1.1	0.800788732	0.788024948	0.844814264	0.809338078
1.2	0.808762447	0.834583486	0.887335154	0.795466946
1.3	0.842623194	0.7725	0.889069586	0.744919751
1.4	0.82310532	0.754558726	0.955964691	0.821025271
1.5	0.812809149	0.78422069	0.842311111	0.82310532
1.6	0.77355102	0.815139785	0.828502732	0.779383139
1.7	0.764193548	0.783680221	0.892909305	0.731737452
1.8	0.773814223	0.781525773	0.829106817	0.758838839
1.9	0.76445042	0.757827391	0.82310532	0.782332301
2	0.787365627	0.777817109	0.83092437	0.781917628
2.1	0.786582698	0.768746356	0.793685619	0.788150116
2.2	0.75915547	0.767007111	0.785541212	0.783207921
2.3	0.770743748	0.776544503	0.795548106	0.762325731
2.4	0.774516971	0.770743748	0.789461078	0.772751547
2.5	0.783725231	0.771244719	0.782691293	0.782175346
2.6	0.769494163	0.768	0.769244733	0.766016785
2.7	0.767503234	0.753132339	0.767503234	0.769244733
2.8	0.779093894	0.743458647	0.768248624	0.750512334
2.9	0.657009967	0.723512195	0.71158021	0.702314294
3	0.702314294	0.625822785	0.676102564	0.63249467
3.1	0.679977077	0.63131684	0.677260274	0.640864164
3.2	0.69470726	0.660484275	0.684093399	0.694503951
3.3	0.670183564	0.646802944	0.651240395	0.665112108
3.4	0.676102564	0.634354451	0.644169381	0.642425555
3.5	0.64627451	0.602314721	0.636054677	0.618160979
3.6	0.646450558	0.590328358	0.654112459	0.635713903
3.7	0.634524064	0.61848319	0.604001018	0.656283186
3.8	0.639482619	0.618805737	0.61147127	0.62681458
3.9	0.650348041	0.616394805	0.600030341	0.625328063
4	0.655920398	0.604001018	0.620099294	0.631821086
4.1	0.656725383	0.64627451	0.597070097	0.61449338
